sid,title,group_name,datelocation,year,month,mid,name,year:1,nbr_sessions,instruments
R6993,,Vera Auer Und Ihre Solisten,"Vienna, spring 1950",1950,,14732,Vera Auer,1950,8,vcl
R156311,,,"Los Angeles, June 4, 1953",1953,June,3579,Earl Jackson,1953,5,p
R96551,,,"Chicago, January 28, 1941",1941,January,10493,Punch Miller,1941,67,tp
R113628,,Louis Prima And His Orchestra,"New York, July 7, 1952",1952,July,20243,John Owens,1952,44,
R49244,,,"New York, October 19, 1946",1946,October,33315,Leonard Green,1946,16,
R158385,,Trummy Young And His Lucky Seven,"New York, May 2, 1945",1945,May,153363,Lord Byron,1945,1,g
R78208,,Stan Kenton And His Orchestra,"New York, February 13, 1942",1942,February,93068,Dick Cole,1942,11,
R15555,,Rolf Billberg Quintet,"Stockholm, March 28, 1955",1955,March,28982,Bosse Stoor,1955,10,d
R44428,,,"New York, September 24, 1946",1946,September,12670,"Thomas ""Sleepy"" Grider",1946,9,
R126826,,Artie Shaw And His Orchestra,"NBC radio broadcast, Blue Room, Hotel Lincoln, New York, December 1, 1938",1938,December,77124,Bob Curtis,1938,22,p
R21563,,,"Hollywood, CA, April 8, 1952",1952,April,37861,The Rhythmaires,1952,9,
R46395,Halloween Stomp,Skinnay Ennis And His Orchestra,"Hollywood, Ca., March 24, 1939",1939,March,17113,Gil Evans,1939,204,"arr,dir,poss. celeste"
R43177,,,"Hilversum, July 14, 1950",1950,July,23528,Arie Merkt,1950,20,d
R65764,,,"Hotel Commodore, New York, April 25, 1948",1948,April,14922,Tiny Kahn,1948,80,
R124788,Bob Scobey's 'Frisco Band With Clancy Hayes,,"Los Angeles, January 17-20 & 21, 1955",1955,January,60609,Bill Napier,1955,44,cl
R54241,,Fatty George Combo,"Koln, May 28, 1954",1954,May,32664,Heinz Grah,1954,43,b
R107778,Jazz Immortal,Tony Parenti And His New Orleans Quartet,"New Orleans, June 7, 1954",1954,June,6900,Tony Parenti,1954,126,cl
R127009,,,"Los Angeles, 9:30am-12:30pm & 7-10pm, July 28, 1946",1946,July,10951,Paul Robyn,1946,42,
R129582,,Freddie Slack And His Orchestra/Johnny Mercer With Freddie Slack And His Orchestra,"Los Angeles, May 21, 1942",1942,May,54451,Bob Goodrich,1942,7,
R39033,,,"Brussels, c. April-May 1939",1939,April,24219,Jean Delahaut,1939,30,b
R12388,International Jazz Festival Concerts,Sidney Bechet with the Pierre Braslavsky Orchestra,"Concerts, Lyon, France & Geneva, Switzerland, May 11 and 14, 1949",1949,May,20781,Rene Franc,1949,28,cl
R155316,,,"Concert, AFRS Jubilee #154, Hollywood, CA, October 29, 1945",1945,October,2519,Melba Liston,1945,134,
R15373,,,"Memphis, April 19, 1953",1953,April,28731,Big Mamphis Ma Rainey,1953,1,vcl
R26986,,,"Paris, France, February 28, 1953",1953,February,21574,Bill Graham,1953,115,bar
R197171,Voodoo Suite Plus Six All-time Greats,Perez Prado/Shorty Rodgers,"Los Angeles, April 8, 1954",1954,April,126926,Roberto Casanova,1954,2,cga
R35319,,,"New York, January 23, 1940",1940,January,54443,Marion Mann,1940,34,
R96902,,,"New York, July 2, 1935",1935,July,2716,Hayes Alvis,1935,119,
R201516,,,"Zurich, mid 1945",1945,,27522,Billy Toffel,1945,111,vcl
R5777,A Song Is Born,(Sessions Continued),"Film soundtrack, Goldwyn studios soundstage, Hollywood, CA, August 9, 1947",1947,August,4498,Tommy Dorsey,1947,1147,tb
R111471,,,"Sydney, December 30, 1954",1954,December,52218,Neville Sherburn,1954,6,p
R93516,,The American Band Of The AEF Directed By Ray McKinley,"Swing Shift recording, Co-Partners Hall, Bedford, England, August 18, 1944",1944,August,91024,Frank Ippolito,1944,134,d
R191795,,Andre Pasdoc Accompagne Par l'Orchestre Vola,"Paris, October 13, 1935",1935,October,13870,Louis Vola,1935,78,"accor-1,b-2"
R27070,,Benny Carter And The Ramblers,"Laren, The Netherlands, March 24, 1937",1937,March,33207,Andre van der Ouderaa,1937,53,"cl,as"
R126188,,Don Senay Accompanied By Charles Mingus Orchestra,"New York, September 19, 1955",1955,September,91325,Don Senay,1955,2,vcl
R121996,,Rytmi Orchestra,"Helsinki, 1943-1944",1943,,128393,Aarre Koskela,1943,1,p
R58254,,Stephane Grappelly Quintet,"London, April 25, 1947",1947,April,38536,George Shearing,1947,253,p
R86239,,,"Los Angeles, November 17, 1948",1948,November,99411,Clarence Cyphers,1948,3,p
R74523,,,"New York, November 6, 1941",1941,November,21496,Dan Minor,1941,71,tb
R64103,,,"New York, April 10, 1935",1935,April,42119,John van Eps,1935,9,
R7735,,Alice Babs & Co.,"Stockholm, c. January 10, 1940",1940,January,193511,Ulf Sandstrom,1940,2,tp
R6122,,,"Stockholm, March 30, 1948",1948,March,13205,Knut Johansson,1948,2,as
R181548,,Jam Session,"Private recording ""Clark Monroe's Uptown House"", New York, October, 1941",1941,October,14872,Dizzy Gillespie,1941,522,tp
R19049,Ruby Braff Quartet Swings,,"New York, October, 1954",1954,October,2902,Ruby Braff,1954,202,tp
R78212,,AFRS One Night Stand #17,"AFRS ONS #17, ""Jantzen Beach Ballroom"", Portland, Oregon, September 8, 1943",1943,September,93086,Clyde Singleton,1943,3,b
R17749,,Sharkey And His Sharks Of Rhythm,"New York, October 7, 1936",1936,October,32445,Ben Pollack,1936,80,d
R84014,,Yank Lawson's Jazz Band,"New York, December 7, 1944",1944,December,12630,Bill Stegmeyer,1944,169,cl
R65717,,"Woody Herman Show, AFRS 31","Wildroot Radio Show #33, Chicago, May 24, 1946",1946,May,10186,Shorty Rogers,1946,455,tp
R142514,,George Trevare And His Dance Orchestra,"Sydney, January 11, 1945",1945,January,79608,Wally Norman,1945,30,
R66614,,Earl Hines And His Orchestra,"Chicago, IL, February 10, 1937",1937,February,60754,Lawrence Dixon,1937,24,g
R12351,Jazz Nocturne Volume 7 - Easy Rider,,"Jazz Nocturne WCOP broadcast ""Savoy Cafe"", Boston, MA, May 1, 1945",1945,May,23352,George Thompson,1945,26,d
R44836,,Duke Ellington And His Famous Orchestra,"New York, September 20, 1937",1937,September,9760,Otto Hardwick,1937,298,"as,cl"
R71517,,Jam Session No 2,"Paris, October 24, 1946",1946,October,23377,Bernard Peiffer,1946,67,p
R58854,,Tuff Green And His Orchestra,"Memphis, 1949",1949,,28734,Tuff Green,1949,4,b
R99058,,"Dwight ""Gatemouth"" Moore Acc By Dallas Bartley And His Small Town Boys","Chicago, May 10, 1945",1945,May,109426,"Dwight ""Gatemouth"" Moore",1945,5,vcl
R142963,Bobby Troup Sings Johnny Mercer,,"Los Angeles, January 28, 1955",1955,January,851,Red Mitchell,1955,551,b
R148639,,"Fats Waller, His Rhythm And Orch.","New York, April 12, 1938",1938,April,52418,Lonnie Simmons,1938,7,ts
R36774,Do The Deal,,"prob. Hollywood, unknown date, 1950's ?",1950,,37639,Mack Johnson,1950,15,
R57660,,,"New York, August 19, 1938",1938,August,76374,Mert Curtis,1938,23,
R71859,,Harry James And His Orchestra,"New York, January 8, 1941",1941,January,69424,Jack Mathias,1941,152,
R84583,,Ger Van Leeuwen En Zijn Orkest,"Bussum, June 5, 1952",1952,June,98175,Eddy Develing,1952,7,bar
R67891,,Leroy Holmes And His Orchestra,"Hollywood, c. May 1950",1950,May,6812,Pee Wee Erwin,1950,246,
R134500,,,"Chicago, May 3, 1951",1951,May,8993,Sonny Stitt,1951,244,ts
R47008,,Bernard Ette Mit Seinem Grossen Schauorkester,"Berlin, August, 1941",1941,August,66409,Claire Bauerle,1941,3,
R30692,,,"New York, January 5, 1938",1938,January,39652,Cliff Heather,1938,45,
R14389,,,"New York, March 15, 1938",1938,March,11722,Fulton McGrath,1938,104,
R153232,,,"Berlin, January 21, 1948",1948,January,150535,Werner Konrath,1948,14,p
R127007,,,"Los Angeles, 7:30-11:30pm, June 19, 1946",1946,June,12721,George Kast,1946,33,
R63306,,Johnny Hartman Acc By George Williams Orchestra,"New York, May 2, 1950",1950,May,17105,Bernie Kaufman,1950,55,
R152050,,,"New York, May 4, 1951",1951,May,8060,George Wettling,1951,333,d
R41788,,Tommy Dorsey And His Orchestra,"New York, December 30, 1938",1938,December,5547,Babe Russin,1938,422,ts
R101340,,,"London, January 12, 1954",1954,January,13933,Phil Seamen,1954,143,d
R100835,,,"Hollywood, CA, September 14, 1945",1945,September,110811,Charles Ford,1945,1,vcl
R95115,,,"London, November 7, 1954",1954,November,106680,Trevor Carlisle,1954,12,d
R69218,,Peanuts Hucko And His Orchestra,"New York, 1953",1953,,10860,Chris Griffin,1953,380,
R65611,,Woody Herman And His Orchestra,"Broadcast, ""Fitch Bandwagon Show"", Los Angeles, June, 1943",1943,June,57243,Vido Musso,1943,239,
R10423,,,"Jubilee #118/214, Hollywood, CA, January 29, 1945",1945,January,20310,Dave Hallet,1945,14,
R102937,,,"Jazz Festival, Zurich, September 20, 1952",1952,September,60414,Eric Dufour,1952,5,
R156295,,,"Los Angeles, 1950",1950,,12851,Jesse Sailes,1950,64,d
R9350,,,"London, May 14, 1952",1952,May,6915,Lennie Hastings,1952,145,d
R72978,,Jazz At The Philharmonic,"Concert ""Carnegie Hall"", New York, September 19, 1953",1953,September,6850,Ben Webster,1953,476,
R39155,,Frank Deniz And His Spirits Of Rhythm,"London, May 17, 1944",1944,May,59151,Tony Lytton,1944,4,d
R107963,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, December 18, 1948",1948,December,2491,Miles Davis,1948,456,tp
R91201,,Bobby Martin And His All Star Orchestra,"Hilversum, Holland, April 29, 1938",1938,April,88318,Bobby Martin,1938,18,"tp,ldr"
R207551,,Owe Kjells orkester,"Broadcast, December 27, 1941",1941,December,193663,Hasse Tillberg,1941,2,p
R87471,,Vincent Lopez And His Suave Swing Orchestra,"New York, April 18, 1939",1939,April,12221,Mike Durso,1939,28,
R103388,,Tony Newstead's Orchestra,"Melbourne, February, 1947",1947,February,24347,Lou Silbereisen,1947,96,b
R68392,,Lena Horne Acc By Phil Moore's Orchestra,"Los Angeles, 1947",1947,,8955,Lena Horne,1947,101,vcl
R32886,,Eddie Condon Blue Network Show 36 (AFRS 34),"Broadcast ""Ritz Theatre"", New York, January 27, 1945",1945,January,51591,Johnny Pesky,1945,3,tb
R35219,,Bing Crosby acc by Jack Teagarden And His Orchestra,"Los Angeles, May 26, 1941",1941,May,26586,John Fallstitch,1941,15,
R39057,,,"New York, December 20, 1935",1935,December,13025,Joe Marsala,1935,85,cl
R103503,,,"Aarhus, Denmark, January 2, 1955",1955,January,26053,Lise West,1955,2,
R7271,,,"Vienna, October 18, 1954",1954,October,12898,Hans Salomon,1954,54,as
R73799,,,"Stockholm, August 4, 1941",1941,August,2949,Sven Stiberg,1941,118,
R140370,,Claude Thornhill And His Orchestra,"New York, June 19, 1942",1942,June,38119,Bob Walters,1942,25,"cl,as"
R161306,,,"London, April 24, 1953",1953,April,56389,Norman Long,1953,5,p
R36029,,,"New York, March, 1944",1944,March,55223,Charlie Perry,1944,38,d
R1520,,Pentti Ahola Ensemble,"Helsinki, early 1953",1953,,3777,Teuvo Siikasaari,1953,2,ts
R149262,,Dinah Washington Acc By Cootie Williams Orchestra,"New York, December 30, 1947",1947,December,7083,Mundell Lowe,1947,361,g
R197392,,Stan Kenton Orchestra,"Innovations in Modern Music, Preview Concert, Philharmonic Auditorium, Los Angeles, January 30, 1950",1950,January,47885,Bob Gioga,1950,187,"bar,b-cl"
R147832,,,"Laren, August 13, 1935",1935,August,33203,George van Helvoirt,1935,66,tp
R77352,,,"Copenhagen, November 14, 1953",1953,November,92251,Preben Hansen,1953,2,g
R15556,,Rolf Billberg/Hacke Bjorksten Quintet,"Stockholm, March 28, 1955",1955,March,28982,Bosse Stoor,1955,10,d
R127014,,,"Los Angeles, 12:30-4:15pm, November 9, 1946",1946,November,45198,Fred Goerner,1946,78,
R133117,,On The Air,"London, c. June 1942",1942,June,135271,Billy Nicholls,1942,1,vcl
R46317,,,"Berlin, October 1, 1936",1936,October,29189,Howard Ossman MacFarlane,1936,82,tp
R75783,The Isham Jones Centennial Album,,"Associated transcriptions, New York, April 29, 1935",1935,April,33231,Joe Bishop,1935,80,"tu,arr"
R107938,,Charlie Parker Quintet,"New York, October 28, 1947",1947,October,8994,Duke Jordan,1947,182,p
R38942,,Eddie DeLange And His Orchestra,"New York, September 23, 1938",1938,September,58780,Eddie De Lange,1938,26,"ldr,vcl"
R50156,,Ralph Flanagan And His Orchestra,"New York, July 24, 1950",1950,July,6184,Bob Haggart,1950,584,b
R118849,,Max Roach Quartet,"New York, April 21, 1953",1953,April,6895,Franklin Skeete,1953,36,b
R87154,,Ella Logan Acc By Perry Botkin And His Orchestra,"Los Angeles, April 2, 1940",1940,April,10969,Abe Lincoln,1940,152,tb
R81452,,,"New York, August 21, 1945",1945,August,20540,Charlie Kennedy,1945,103,ts
R90951,,,"New York, March 21, 1941",1941,March,4603,Shelly Manne,1941,840,d
R101115,,,"Live ""Italian Village"", San Francisco, CA, prob July, 1953",1953,July,23428,Dick Lammi,1953,100,bj
R147156,,Gus Viseur Et Son Orchestre,"Paris, August 9, 1940",1940,August,1491,Gus Viseur,1940,44,accor
R105327,,Kettil Ohlson's Orkester,"Stockholm, March 26, 1954",1954,March,28982,Bosse Stoor,1954,10,d
R36692,,,"Los Angeles, May 21, 1950",1950,May,6391,Murray McEachern,1950,302,
R74522,,,"New York, May 1, 1941",1941,May,17802,Shad Collins,1941,102,tp
R17820,,,"Copenhagen, December, 1941",1941,December,265,Erik Frederiksen,1941,76,d
R141037,,Cal Tjader Quintet,"Little Theater, Berkeley, Ca, June 6, 1955",1955,June,41118,Brew Moore,1955,63,ts
R63824,,Erskine Hawkins And His Orchestra,"Jubilee Broadcast, Hollywood, c. August 1943",1943,August,21431,Avery Parrish,1943,31,arr
R70944,,Chubby Jackson & His Knights,"Live ""The Pied Piper"" (*), New York, August 22, 1947",1947,August,20306,Bill Harris,1947,302,tb
R129584,,Freddie Slack And His Orchestra/Johnny Mercer With Freddie Slack And His Orchestra,"Los Angeles, July 31, 1942",1942,July,12765,John Cyr,1942,43,d
R2585,Jubileumsskivan Sonora 50 Ar.,Wiggerskvartetten Med All Star Orchestra,"Stockholm, October, 1935",1935,October,6247,Gosta Bergstrom,1935,3,
R38081,,,"Boston, MA, November 7, 1951",1951,November,57553,Ed Schwartz,1951,1,p
R12462,,Sidney Bechet Avec Claude Luter & Son Orchestre,"Concert ""Olympia"", Paris, December 8, 1954",1954,December,14609,Roland Bianchini,1954,74,b
R58545,,,"Hollywood, October 18, 1946",1946,October,77126,Monty Kelly,1946,5,
R126856,,Artie Shaw And His Orchestra,"New York, January 23, 1939",1939,January,4641,Georgie Auld,1939,353,ts
R127033,,Artie Shaw And His Orchestra,"New York, September 13, 1950",1950,September,61917,Jack Margolies,1950,6,
R41668,,Jimmy Dorsey And His Orchestra,"Hollywood, July 16, 1951",1951,July,61765,Billy Mullens,1951,7,
R69420,,Arne Hulphers Grand Dansorkester,"Stockholm, January 13, 1938",1938,January,6240,Gosta Heden,1938,108,d
R159685,,,"New York, August 30, 1939",1939,August,12394,Wellman Braud,1939,186,b
R96801,,,"New York, October 18, 1950",1950,October,28715,James Cannady,1950,24,g
R64637,,Horace Heidt And His Musical Knights,"New York, September 20, 1939",1939,September,176415,Bob Knight,1939,10,el-g
R208941,,Paul Whiteman Swinging Strings,"New York, November 15, 1938",1938,November,195369,Maurice Archer,1938,3,vln
R139617,,The All Star Stompers,"This is Jazz Broadcast, New York, September 20, 1947",1947,September,6795,Jimmy Archey,1947,151,tb
R94451,A Pair Of Pianos,Johnny Mehegan & Eddie Costa,"New York, November 15, 1955",1955,November,4591,Eddie Costa,1955,194,p
R202099,,,"Los Angeles, June 14, 1951",1951,June,319,Art Farmer,1951,381,
R66123,Joe Hervey's Metronome Quintet,,"Live ""Molkenkur Club"", Heidelberg, Germany, September, 1953",1953,September,82949,Peter Jongeneel,1953,3,p
R145759,,Sarah Vaughan Acc By Jimmy Jones Trio,"Live ""Just Jazz Concert"", Shrine Auditorium, Los Angeles, August 31, 1949",1949,August,21,Roy Haynes,1949,409,d
R27905,,,"Los Angeles, June 21, 1946",1946,June,10889,Fred Fallensby,1946,66,saxes
R148080,,Jerry Wald And His Orchestra,"New York, c. May 1946",1946,May,5783,Irv Cottler,1946,149,d
R13910,,,"Europe, 1949",1949,,25873,Jesse Morris,1949,3,tb
R126961,,Artie Shaw And His Orchestra,"Chicago, IL, October 30, 1941",1941,October,14879,Mike Bryan,1941,132,g
R138066,,Billy Taylor Quartet,"New York, September 26, 1947",1947,September,17075,John Levy,1947,50,b
R138722,,Tabanyi Mihaly Es Szolistai,"Budapest, spring 1949",1949,,116976,Janos Orosz,1949,9,"p,celeste"
R150376,,,"New York, August, 1945",1945,August,5291,Pete Mondello,1945,111,ts
R126754,,Charlie Shavers Quintet,"Detroit, January 7, 1945",1945,January,6870,Buddy DeFranco,1945,237,cl
R41793,,,"Chicago, March 15, 1939",1939,March,61799,Dave Jacobs,1939,107,
R98426,,,"New York, January 13, 1941",1941,January,19503,Bobby Nichols,1941,280,
R73797,,,"Stockholm, January 27, 1941",1941,January,6488,Georg Vernon,1941,215,
R58007,,Betty Grable With Harry James & His Orchestra,"New York, August 20, 1945",1945,August,76751,Ray Toland,1945,33,d
R8753,,The Kenny Baker Dozen,"England, mid-1950's",1950,,6299,Kenny Baker,1950,214,
R127006,,,"Los Angeles, 7:30-11pm, June 11, 1946",1946,June,7532,Harry Bluestone,1946,97,
R85226,,George Lewis Band,"New Orleans, LA, July 25, 1954",1954,July,19107,Percy Humphrey,1954,72,tp
R141404,,Pinky Tomlin Acc By Joe Haymes And His Orchestra,"New York, March 9, 1937",1937,March,81640,Charlie Zimmerman,1937,9,
R184331,,Billy Eckstine acc by Nelson Riddle and his Orchestra,"New York, July 1, 1952",1952,July,14921,Billy Eckstine,1952,134,vcl
R151045,,Frank Weir And His Astor Club Seven,"London, England, December 18, 1944",1944,December,6297,Norman Burns,1944,27,d
R196522,,Lord Kitchener acc by The Vincent Street Six,"London, January?, 1953",1953,January,30127,Freddy Grant,1953,11,cl
