sid,title,group_name,datelocation
R107991,,Cafe Society Jam Session,"Broadcast ""Cafe Society"", New York, May/July, 1950"
R107992,,Charlie Parker And His Orchestra,"New York, June 6, 1950"
R107993,,Apartment Sessions With Charlie Parker,"Joe Maini & Don Lanphere's home, New York, June, 1950"
R107994,,,"(*) 136th Street session, New York, June, 1950"
R107995,,Charlie Parker Quintet,"Broadcast ""Birdland"", New York, June 30, 1950"
R107996,,,"Broadcast ""Birdland"", New York, June 30, 1950"
R107997,,Charlie Parker Quartet,"unknown location, prob. New York, prob. July, 1950"
R107998,,Charlie Parker With Strings,"New York, July 5, 1950"
R107999,,Charlie Parker With Strings,"Broadcast ""Apollo Theatre"", New York, August 17-23, 1950"
R108001,,Charlie Parker Quintet,"Live, New Brunswick, New Jersey, August 28, 1950"
R108002,,Charlie Parker Sextet,"Live ""Pershing Hotel Ballroom"", Chicago, (early set), October 23, 1950"
R108003,,,"Live ""Pershing Hotel Ballroom"", Chicago, (late set), October 23, 1950"
R108005,,,"NBC TV-Cast, Broadway Open House, New York, October 31, 1950"
R108006,,Charlie Parker And The Swedish All Stars,"Concert ""Admiralen Dance Hall"", Malmo, Sweden, November 22, 1950"
R108007,,Charlie Parker And The Swedish All Stars,"Folkets Park, Halsingborg, Sweden, November 24, 1950"
R108008,,Charlie Parker Jam Session,"Folkets Park, Halsingborg, Sweden, November 24, 1950"
R108009,,Charlie Parker Avec L'orchestre De Maurice Moufflard,"Broadcast, Paris, late November 1950"
R108010,,Charlie Parker Quintet,"WJZ Broadcast ""Birdland"", New York, December, 1950"
R108011,,Charlie Parker And His Orchestra,"New York, January 17, 1951"
R108012,,Charlie Parker's Jazzers,"New York, March 12, 1951"
R108013,,Charlie Parker With Strings,"Broadcast ""Birdland"", New York, March 22, 1951"
R108014,Bird With Strings,,"WJZ Broadcast ""Birdland"", New York, March 24, 1951"
R108015,,Charlie Parker And The All Stars,"Broadcast ""Birdland"", New York, March 31, 1951"
R108016,,Charlie Parker With Strings,"Broadcast ""Birdland"", New York, April 7, 1951"
R108017,,Charlie Parker Jam Session,"Live ""Christy's"", Framingham, Boston, MA, April 12, 1951"
R108018,,Charlie Parker Quintet,"Live ""Christy's"", Framingham, Mass., April 21 ?, 1951"
R108019,,Charlie Parker Quintet,"VOA Broadcast ""Birdland"", New York, spring 1951"
R108020,,Charlie Parker Quintet,"private recording, ""Eastern Parkway Ballroom"", Brooklyn, NY, June 23, 1951"
R108021,,Charlie Parker Septet,"Veterans Administration Hospital, Philadelphia, June 1951"
R108022,,Charlie Parker With Lennie Tristano,"private recording, Tristano's studio, New York, August, 1951"
R108023,,Charlie Parker Quintet,"New York, August 8, 1951"
R108024,,Charlie Parker With Strings,"New York, January 22 or 23, 1952"
R108025,,Charlie Parker Quintet,"New York, January 23, 1952"
R108026,,1951 Downbeat Award : Charlie Parker And Dizzy Gillespie,"TV-Cast, Dumont TV Network, Channel 5, New York, February 24, 1952"
R108028,,Charlie Parker Quartet : Jerry Jerome Concert,"Concert ""Loew's Kings Theatre"", Brooklyn, New York, March 24, 1952"
R108027,,Charlie Parker Big Band,"New York, March 25, 1952"
R168228,,Jerry Jerome Jazz Concert : Featuring Charlie Parker,"Concert ""Loew's Valencia Theatre"", Jamaica, New York, March 25, 1952"
R108029,,Charlie Parker At Zorthian's Ranch,"Zorthian's Ranch, Altadena, California, July 8, 1952"
R108032,,Charlie Parker Quartet,"Broadcast ""Birdland"", New York, September 20, 1952"
R108033,,Charlie Parker Quintet,"private recording ""Rockland Palace Dance Hall"", New York, September 26, 1952"
R108034,,Charlie Parker Tentet,"private recording ""Howard Theatre"", Washington, D.C., October 17, 1952"
R108035,,Charlie Parker With The Milt Jackson Quartet,"Broadcast ""Birdland"", New York, November 1, 1952"
R108036,,Charlie Parker With Strings,"WNBC Broadcast ""Carnegie Hall"", New York, 8:30pm, 1st conc., November 14, 1952"
R108037,,Charlie Parker With Strings,"WNBC Broadcast ""Carnegie Hall"", New York, 12am, 2nd concert, November 15, 1952"
R108038,,Charlie Parker/Dizzy Gillespie Sextet,"Broadcast ""Carnegie Hall"", New York, November 15, 1952"
R108039,,Charlie Parker Jam Session,"poss.""Christy's"", Framingham, Boston, December 8-14, 1952"
R108040,Boston 1952,,"WCOP Broadcast ""Hi Hat"", Boston, Mass, afternoon, December 14, 1952"
R108041,,Charlie Parker Quartet,"New York, December 30, 1952"
R108042,,Charlie Parker Jam Session,"private session, New York, 1952 or 1953"
R108043,,,"Concert ""Howard Theatre"", Washington, poss. January 10, 1953"
R108044,,Charlie Parker With The Harris/Jackson Herd,"Broadcast ""Bandbox"", New York, February 16, 1953"
R108045,One Night In Washington,Charlie Parker With The Joe Timer Orchestra,"Live ""Club Kavakos"", Washington, D.C., 4-8pm, February 22, 1953"
R108046,Charlie Parker At Storyville,Charlie Parker Quartet,"WHDH broadcast ""Storyville Club"", Boston, matinee, 3-6pm, March 10, 1953"
R108047,,Charlie Parker With The Milt Buckner Trio,"Down Beat Poll Winners 1952, Broadcast ""Bandbox"", New York, March 23, 1953"
R108048,,Charlie Parker Quartet,"Broadcast ""Bandbox"", New York, March 30, 1953"
R108049,,Charlie Parker Quartet,"Broadcast, unknown location, prob. May 1953"
R108050,,Charlie Parker Quartet,"Broadcast ""Birdland"", New York, May 9, 1953"
R108051,,Charlie Parker And His Orchestra,"New York, May 25, 1953"
R108052,,,"Broadcast ""Birdland"", New York, May 30, 1953"
R108053,,,"WCOP Broadcast ""Hi-Hat Club"", Boston, June 8-14, 1953"
R108054,,Charlie Parker Interview #1,"WHDH Broadcast, Boston, Mass., June 13, 1953"
R108055,,,"WCOP Broadcast ""Hi-Hat Club"", Boston, Mass., June 14, 1953"
R108056,,Charlie Parker Quintet,"Live ""Open Door"", New York, July 26, 1953"
R108057,,Charlie Parker Quartet,"New York, July 30, 1953"
R108058,,Charlie Parker Interview #2,"WHDH Broadcast, Boston, Mass., September, 1953"
R108059,,Charlie Parker Quintet,"WHDH Broadcast ""Storyville Club"", Boston, September 22, 1953"
R108060,,Charlie Parker With The Chet Baker Quartet,"private recording ""University of Oregon"", Eugene, Oregon, November 5, 1953"
R108061,,Charlie Parker Interview #3,"WCOP Broadcast, Boston, Mass., January, 1954"
R108062,,,"WCOP Broadcast ""Hi-Hat"", Boston, Mass., January 18, 1954"
R108064,,Charlie Parker Quintet,"WCOP Broadcast ""Hi-Hat Club"", Boston, Mass., January 23, 1954"
R108066,,Charlie Parker Quartet/Quintet,"New York, March 31, 1954"
R108067,,Charlie Parker With Strings,"WABC Broadcast ""Birdland"", New York, August 27, 1954"
R108068,,Charlie Parker Quartet,"Concert ""Carnegie Hall"", New York, September 25, 1954"
R108069,,Charlie Parker,"Dick Meldonian's apartment, New York, 1954"
R108070,,Charlie Parker Quintet,"New York, December 10, 1954"
R108277,,Leo Parker's All Stars,"New York, December 19, 1947"
R108279,,Leo Parker And His Mad Lads,"New York, July 20, 1950"
R108280,,Leo Parker And His Mad Lads,"New York, December 28, 1950"
R108718,,Frankie Passions Acc By Thelonious Monk Quintet,"New York, prob. c. late 1950"
R108810,,Tony Pastor And His Orchestra,"New York, September 16, 1949"
R80576,,Lee Konitz Sextet,"New York, March 8, 1951"
R110423,,,"Concert ""Carnegie Hall"", New York, September 18, 1949"
R110426,,Oscar Peterson Duo,"New York, March, 1950"
R110428,,Oscar Peterson Duo,"New York, August, 1950"
R110429,,Oscar Peterson Duo,"New York, January 19, 1951"
R110432,,Oscar Peterson Trio,"Los Angeles, November 25, 1951"
R110433,,Oscar Peterson Trio,"Los Angeles, January 26, 1952"
R110434,,Oscar Peterson Quartet,"Los Angeles, February 26, 1952"
R110435,,Oscar Peterson Trio,"Los Angeles, May or June, 1952"
R110436,,Oscar Peterson Trio,"Los Angeles, early December, 1952"
R110437,,Oscar Peterson Trio,"Los Angeles, December, 1952"
R110438,,,"World Transcription sessions, New York, 1952"
R110439,,Oscar Peterson Trio,"Live ""Birdland"", New York, January 19, 1953"
R110440,,,"Live ""Birdland"", New York, January 23, 1953"
R172717,JATP Lausanne 1953,Oscar Peterson/Ella Fitzgerald,"Live ""Theatre de Beaulieu"", Lausanne, Switzerland, March 14, 1953"
R184451,Lausanne 1953,Oscar Peterson & Friends,"Concert ""Theatre de Beaulieu"", Lausanne, Switzerland, March 14, 1953"
R110442,1953 Live,Oscar Peterson Trio,"Live ""Blue Note"", Chicago, April 24, 1953"
R110444,,Oscar Peterson Trio,"New York, May 21, 1953"
R110445,,Oscar Peterson Trio,"Los Angeles, December 6, 1953"
R110447,,Oscar Peterson Trio,"Los Angeles, December 10, 1953"
R110450,,Oscar Peterson Trio,"New York, April 27, 1954"
R110452,,Oscar Peterson Quartet,"Los Angeles, October 27, 1954"
R110453,,Oscar Peterson Trio,"Los Angeles, November 15, 1954"
R110455,Jam Session 1955,The Oscar Peterson Quartet,"Live ""Palasport"", Berlin, Germany, February 10, 1955"
R110457,,Oscar Peterson Trio,"Live ""Steve Allen TV-Show"", New York, September 15, 1955"
R110456,At Zardi's,The Oscar Peterson Trio,"Live ""Zardi's"", Hollywood, CA, November 8, 1955"
R110458,Oscar Peterson Plays Count Basie,Oscar Peterson Quartet,"Los Angeles, December 27, 1955"
R110860,,Oscar Pettiford And His Orchestra,"New York, January 9, 1945"
R110864,,,"New York, April 28, 1951"
R110867,,,"New York, December 29, 1953"
R110869,The Oscar Pettiford Memorial Album,,"New York, March 21, 1954"
R111052,,Flip Phillips Fliptet,"New York, October 2, 1944"
R111053,,,"New York, October 9, 1944"
R111054,,,"New York, June, 1945"
R111055,,,"Town Hall, New York, September 6, 1945"
R111056,,Flip Phillips Boptet,"New York, late November 1945"
R111057,Flip,Flip Phillips/Howard McGhee Boptet,"New York, prob. September/October, 1947"
R111058,,Flip Phillips And His Orchestra,"New York, February 11, 1949"
R111059,,,"New York, August 29, 1949"
R111060,,,"New York, December 5, 1949"
R111061,,Flip Phillips Quartet,"New York, prob. March, 1950"
R111062,,,"New York, July 1, 1950"
R111063,,,"Live ""Birdland"", New York, March 3, 1951"
R111064,,,"New York, March 8, 1951"
R111065,,,"Live ""Birdland"", New York, April 23, 1951"
R111067,,,"Los Angeles, August 9, 1951"
R111068,,,"Los Angeles, February, 1952"
R111069,,,"New York, March 21, 1952"
R111070,,,"Los Angeles, June 10, 1952"
R111071,,,"New York, December 14, 1952"
R111072,One Night Stand,Flip Phillips/Buddy Rich Trio,"Broadcast ""The Bandbox"", New York, January 19, 1953"
R111073,Rock With Flip,,"Los Angeles, September 13, 1954"
R11167,,,"AFRS ""Jubilee #98"" show, Los Angeles, CA, September 25, 1944"
R11169,,,"AFRS ""Downbeat"" & ""YSS"" transcriptions, LA., October, 1944"
R11235,,Count Basie Octet,"New York, May 16, 1950"
R11246,,,"New York, July 26, 1952"
R11251,,"Count Basie Nonet, Sextet Or Quintet","New York, December 12, 1952"
R11252,,Count Basie Sextet,"New York, December 13, 1952"
R112349,,Doc Pomus Acc By The Curley Russell All Stars,"New York, November 6, 1947"
R112884,,Bud Powell Trio,"New York, January 10, 1947"
R112885,,,"New York, January-February, 1949"
R112886,,Bud Powell's Modernists,"New York, August 8, 1949"
R112887,,Bud Powell Trio,"New York, August 9, 1949"
R112888,,Bud Powell Trio,"New York, February, 1950"
R112889,,,"New York, June or July 1, 1950"
R112891,,Bud Powell Trio,"New York, May 1, 1951"
R112892,,,"Broadcast ""Birdland"", New York, February 7, 1953"
R112894,,,"Broadcast ""Birdland"", New York, March 7, 1953"
R112896,Inner Fires - The Genius Of Bud Powell,Bud Powell Trio,"Live ""Club Kavakos"", Washington, D.C., April 5, 1953"
R112897,,Bud Powell Trio With The Joe Timer Orchestra,"Live ""Club Kavakos"", Washington, D.C., April 5, 1953"
R112898,,Bud Powell Trio,"Concert ""Massey Hall"", Toronto, Canada, May 15, 1953"
R112907,,,"Broadcast ""Birdland"", New York, September 19, 1953"
R112908,,Bud Powell Trio,"Broadcast ""Birdland"", New York, September 26, 1953"
R112911,,,"New York, December 16, 1954"
R114478,,,"New York, December 8, 1955"
R114529,,,"Concert ""Massey Hall"", Toronto, Canada, May 15, 1953"
R115100,,Boyd Raeburn And His Orchestra,"Langworth transcriptions, ""Liederkranz Hall"", New York, June 13, 1944"
R115104,,,"Langworth transcriptions, ""Liederkranz Hall"", New York, January 17, 1945"
R115121,,,"AFRS Jubilee #163, #209, ""Club Morocco"", Hollywood, CA, December 29, 1945"
R115626,Jimmy Raney Quartet,,"Hackensack, N.J., May 28, 1954"
R115628,Jimmy Raney Quintet,,"Hackensack, N.J., February 18, 1955"
R81519,,Gene Krupa Trio,"Vasteras, Sweden, July 25, 1952"
R81524,The Exciting Gene Krupa,The Gene Krupa Sextet,"New York, September 10, 1953"
R81526,The Driving Gene Krupa,Gene Krupa Sextet,"New York, February 2, 1954"
R81532,Gene Krupa Meets Buddy Rich,,"Los Angeles, November 1, 1955"
R117144,,Henri Renaud Band,"New York, February 28, 1954"
R117147,,Henri Renaud Trio,"Paris, October 28, 1954"
R117712,A Young Man And His Drums,,"AFRS Spotlight Bands 785, (*), Phoenixville, Pennsylvania, December 24, 1945"
R117713,,Buddy Rich And His Orchestra,"AFRS Jubilee 183, New York, early January 1946"
R117714,,Buddy Rich And His Orchestra,"Spotlight Bands Broadcast, (*), Quonset Point, Rhode Island, January 25, 1946"
R117715,,,"New York, February 5, 1946"
R117716,"One Night Stand With Buddy Rich, Volume 2",,"AFRS One Night Stand ""The Palladium"", Hollywood, CA, March 21, 1946"
R117722,,Buddy Rich And His Orchestra,"New York, April 25, 1946"
R117723,,,"AFRS Magic Carpet ""Aquarium Restaurant"", New York, August 9, 1946"
R117727,,Buddy Rich And His Orchestra With John Conte,"AFRS/Teen Timers Club, Central High School, Johnstown, PA, October 19, 1946"
R117730,,,"New York, April 11, 1947"
R117732,,Buddy Rich Sextet,"New York, early December 1947"
R117733,,Buddy Rich And His Orchestra,"AFRS One Night Stand ""The Palladium"", Hollywood, CA, July 20, 1948"
R117735,Thrills Of Music Soundtrack - Film Tracks Of Buddy Rich & Gene Krupa,Buddy Rich And His Orchestra,"Film soundtrack, Hollywood, CA, July 1948"
R117736,,Buddy Rich And His Orchestra,"New York, October 28, 1948"
R117737,,Buddy Rich Trio,"Carnegie Hall, New York, September 16, 1950"
R117738,,The Buddy Rich Quartet With Harry James,"Broadcast ""The Bandbox"", New York, March 2, 1953"
R117741,,The Buddy Rich Quartet,"Broadcast ""Bandbox"", New York, March 30, 1953"
R117742,,Buddy Rich All Stars,"Los Angeles, August 21, 1953"
R117743,,,"Los Angeles, August 27, 1954"
R117744,,Buddy Rich With Howard Gibeling's Orchestra,"Los Angeles, January 26, 1955"
R117745,,Buddy Rich Ensemble,"New York, May 16, 1955"
R117746,,Buddy Rich Quintet,"Los Angeles, August 26, 1955"
R117747,Buddy And Sweets,Buddy Rich Quintet,"Los Angeles, September 1, 1955"
R118847,,Max Roach Quintet,"Paris, May 15, 1949"
R118848,,Max Roach And His Sextet,"New York, April 10, 1953"
R118849,,Max Roach Quartet,"New York, April 21, 1953"
R118850,,,"Concert ""Massey Hall"", Toronto, May 15, 1953"
R119634,,Red Rodney's Be-Boppers,"New York, January 29, 1947"
R119637,Modern Music From Chicago,Red Rodney Quinet,"Chicago, June 20, 1955"
R119843,,Timmie Rogers & His Orchestra,"New York, February 26, 1945"
R119873,The Band That Never Was,Gene Roland Orchestra,"New York, April 3, 1950"
R119926,,,"New York, January 7, 1938"
R119927,,Adrian Rollini Quintet,"New York, January 18, 1938"
R119935,,Sonny Rollins Quartet,"New York, January 17, 1951"
R119938,Movin' Out,Sonny Rollins Quintet,"Hackensack, N.J., August 18, 1954"
R119939,Sonny Rollins,Sonny Rollins Quartet,"Hackensack, N.J., October 25, 1954"
R119940,Worktime,,"Hackensack, N.J., December 2, 1955"
R81917,,Billy Kyle's Big Eight,"New York, September 11, 1946"
R121120,The Great Jazz Concerts At The Original Royal Roost,,"WMGM Broadcast ""Royal Roost"", New York, December 19, 1948"
R121464,,,"Live ""The Lighthouse"", Hermosa Beach, CA, September 13, 1953"
R121465,,,"Los Angeles, October 20, 1953"
R121466,"Howard Rumsey's Lighthouse All Stars, Vol. 4 : Oboe/Flute",,"Live ""Lighthouse"", Hermosa Beach, CA, February 25 & 26, 1954"
R121715,,Luis Russell And His Orchestra,"Live ""Savoy Ballroom"", New York, c. 1945"
R121718,,,"New York, May 29, 1946"
R121720,,,"New York, October 19, 1946"
R124962,Relaxed Piano Moods,,"Hackensack, N.J., January 21, 1955"
R125002,,Leslie Scott Acc By Coleman Hawkins And His Orchestra,"New York, December 10, 1947"
R125412,,Tony Scott And His Down Beat Club Septet,"New York, March 6, 1946"
R12790,,,"New York, 1949"
R82616,,Dave Lambert & Buddy Stewart With Red Rodney's Be Boppers,"New York, November 23, 1946"
R82617,,Dave Lambert/Buddy Stewart,"New York, c. May 1948"
R186778,,Dave Lambert & Buddy Stewart with the Al Haig Sextette,"New York, c. May 1948"
R82619,,Dave Lambert with the Al Haig Quartet,"New York, late summer 1948"
R82620,,,"New York, January 20, 1949"
R165459,,,"Live ""Jazz 52"" Jazz Party, New York, February 21, 1952"
R126842,,,"Old Gold ""Melody and Madness"" radio show #6, New York, December 25, 1938"
R126856,,Artie Shaw And His Orchestra,"New York, January 23, 1939"
R126886,,Artie Shaw And His Orchestra,"Hollywood, CA, June 22, 1939"
R126893,n,,"New York, August 27, 1939"
R126905,,Artie Shaw And His Orchestra,"New York, November 9, 1939"
R127026,,Artie Shaw And His Orchestra,"New York, April 4, 1950"
R127027,,Artie Shaw And His Gramercy Five,"New York, April 7, 1950"
R127029,,Dick Haymes And Artie Shaw And His Strings And Woodwinds,"New York, April 27, 1950"
R127238,,,"New York, December 23, 1947"
R127780,Classics In Jazz,Bobby Sherwood And His Orchestra,"Los Angeles, November 13, 1944"
R128193,I Only Have Eyes For Shu,Eddie Shu Quartet,"New York, November 26, 1954"
R128543,,,"New York, October 20, 1952"
R128545,"Horace Silver Quintet, Vol. 1",Horace Silver Quintet,"Hackensack, N.J., November 13, 1954"
R82730,,Herb Lance Acc By Ray Abram's Sextet,"New York, late 1948"
R128964,Zoot Sims,,"New York, September 16, 1950"
R82868,,,"New York, December 12, 1952"
R131553,,,"Paris, October 28, 1954"
R131684,,"Clifford ""King"" Solomon & His Orchestra","New York, August 2, 1953"
R83191,,Don Lanphere Quintet,"New York, September 20, 1949"
R83230,Rare Broadcasting Performances,John LaPorta With Lennie Tristano Quartet,"New York, November 8, 1947"
R133597,Carnegie Hall Concert - Xmas 1949,,"Voice of America transcriptions, Carnegie Hall, New York, December 24, 1949"
R134195,,,"New York, January 17, 1950"
R134204,,Billie Stewart Acc By Ray Abrams Orchestra,"New York, February 18, 1947"
R134234,,Buddy Stewart Quintet,"New York, April, 1948"
R134486,,Sonny Stitt All Stars (Quintet/Be-Bop Boys),"New York, August 23, 1946"
R134489,,,"Detroit, June, 1948"
R134490,,Sonny Stitt Quartet (Sonny Stitt/Bud Powell Quartet),"New York, December 11, 1949"
R134493,,,"New York, February 17, 1950"
R135645,,Maxine Sullivan Acc By Claude Thornhill And His Orchestra,"New York, March 1, 1938"
R139616,,Bands For Bonds : Barry Ulanov's All Star Modern Jazz Musicians,"Broadcast, Bands for Bonds, New York, September 13, 1947"
R139619,,Bands For Bonds : Barry Ulanov's All Star Modern Jazz Musicians,"Broadcast, Bands for Bonds, New York, September 20, 1947"
R140219,,Sir Charles And His All Stars,"New York, September 4, 1945"
R14403,,,"New York, September 13, 1938"
R14407,,,"New York, November 22, 1938"
R14408,,,"New York, November 30, 1938"
R14603,Woodchopper's Holiday 1946,,"New York, January-June, 1946"
R14606,,Sonny Berman/Bill Harris Big 8,"Hollywood, CA, September 21, 1946"
R181549,,Clyde Bernhardt And His Kansas City Buddies,"New York, January, 1945"
R141029,,,"San Francisco, CA, March 2, 1954"
R141030,Ritmo Caliente,Cal Tjader Sextet,"New York, March 6, 1954"
R142338,The Panic Is On,Nick Travis Quintet,"New York, March 24, 1954"
R142839,,Lennie Tristano Trio,"New York, October 30, 1951"
R143273,,Tommy Turk Orchestra,"New York, December 1, 1949"
R144040,,Barry Ulanov And His All Star Metronome Jazzmen,"Broadcast WOR-Mutual ""Bands For Bonds"", New York, November 8, 1947"
R144674,The Philosophy Of Urso,Phil Urso Quartet,"New York, April 14, 1953"
R145062,,,"Los Angeles, November 7, 1949"
R145064,,Billy Valentine & His Orchestra,"c. April, 1950"
R145741,,Sarah Vaughan With The Allstars,"New York, December 31, 1944"
R145742,,Sarah Vaughan With Dizzy Gillespie And His Septet,"New York, May 25, 1945"
R145744,,Sarah Vaughan With Eddie Davis Quartet,"Broadcast, ""Spotlite Club"", New York, prob. June, 1946"
R145749,One Night Stand,Sarah Vaughan/Lester Young,"One Night Stand, Town Hall, New York, November 8, 1947"
R145759,,Sarah Vaughan Acc By Jimmy Jones Trio,"Live ""Just Jazz Concert"", Shrine Auditorium, Los Angeles, August 31, 1949"
R145766,,Sarah Vaughan Acc By George Treadwell And His Allstars,"New York, May 18, 1950"
R145772,Perdido!,Sarah Vaughan 1953,"Live ""Apollo Theatre"", New York, c. 1951"
R145777,,Sarah Vaughan With Her Trio,"Ann Arbor, Michigan, November 15, 1951"
R145787,,,"Broadcast ""Stars In Jazz"", Birdland, New York, April 16, 1953"
R145788,,,"Broadcast ""Stars In Jazz"", Birdland, New York, April 21, 1953"
R145790,,,"Broadcast ""Birdland"", New York, September 5, 1953"
R145794,Swingin' Easy,Sarah Vaughan And Her Trio,"New York, April 2, 1954"
